,1.0,Timestamp,Which state are you in?,What city are you in,,I am a :,My race/ethnicity is:,My Age:,My Marital Status:,Education Level:,My Partner's race/ethnicity is:,My Partner's Age:,My Partner's Marital Status:,My Partner's Education Level:,Length of Time Together,Number of Dates (Monthly),Arrangement Questions [Are you Exclusive?],Arrangement Questions [Do you have more than one SR?],Arrangement Questions [Does your partner know your real Identity?],Arrangement Questions [Are your dates indoor only?],Arrangement Questions [Do you have overnight dates or travel together?],Arrangement Questions [Do you give or receive more for overnights or travel?],Arrangement Questions [Do you give or receive gifts on top of allowance?],Allowance Type:,PPM/Weekly Allowance Amount:,Allowance Amount: (Actual amount received or given. Not total budget. For gifts and experience only arrangements select how much spent on a monthly basis.),How happy are you with your current arrangement?,Are you satisfied with how much you receive or give financially?,Are you satisfied with how much time you spend together?,I feel I am getting enough effort/financial support from my partner for the money I spend/effort I put into the relationship?
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2.0,7/3/2024 17:02:57,Delaware,Wilmington,,Sugar Daddy,Black/African Descent,36-45,Divorced,Masters,Black/African Descent,26-35,Single,Some College,Less than a month,3-4,Yes,Yes,Yes,Yes,Yes,Yes,No,Pay Per Meet (PPM),< $300,,6,4,4,6
2,3.0,1/24/2024 3:19:33,Maryland,Bel Air,,Sugar Baby Female,White / Caucasian,26-35,Separated,Some College,,46-55,Open Relationship,Doctorate,More than 1 year,3-4,Yes,No,Yes,No,Yes,Yes,Yes,Pay Per Meet (PPM),"$1k - $1,999",,1,5,5,10
3,4.0,2/2/2024 14:52:23,Maryland,Bethesda,,Sugar Baby Female,Black/African Descent,26-35,Single,Bachelor Degree,Middle Eastern,46-55,Married,Doctorate,Less than a month,3-4,No,Yes,No,No,No,Yes,Yes,Pay Per Meet (PPM),"$2k - $2,999",,8,8,9,9
4,5.0,2/8/2024 9:33:20,Maryland,Baltimore,,Sugar Baby Female,White / Caucasian,18-25,Single,Masters,Black/African Descent,26-35,Single,Doctorate,4-6 months,3-4,Yes,No,Yes,No,No,No,Yes,Pay Per Meet (PPM),$400-$499,,8,8,8,8
5,6.0,2/10/2024 1:54:42,Maryland,Rockville,,Sugar Baby Female,Black/African Descent,36-45,Divorced,Bachelor Degree,Black/African Descent,46-55,Single,Masters,10-12 months,10+,No,No,Yes,No,Yes,Yes,Yes,Gifts and Experiences,,"$1k- $1,999",3,2,4,3
6,7.0,4/18/2024 13:42:07,Maryland,Baltimore,,Sugar Baby Female,Asian,26-35,Single,Bachelor Degree,White / Caucasian,46-55,Divorced,Bachelor Degree,4-6 months,3-4,No,No,No,No,No,No,Yes,Pay Per Meet (PPM),$300-$399,,8,8,7,8
7,8.0,4/19/2024 15:07:07,Maryland,Fulton,,Sugar Baby Female,Black/African Descent,26-35,Single,Bachelor Degree,,46-55,Single,Some College,1-3 months,3-4,No,No,Yes,No,Yes,Yes,Yes,Pay Per Meet (PPM),$600-$699,,5,5,7,5
8,9.0,6/29/2024 10:58:52,Maryland,Columbia,,Sugar Daddy,White / Caucasian,46-55,Divorced,Bachelor Degree,Asian,18-25,Single,Some College,1-3 months,5-6,Yes,Yes,Yes,No,No,No,Yes,Pay Per Meet (PPM),< $300,,9,9,9,8
9,10.0,7/25/2024 5:22:32,Maryland,Baltimore,,Sugar Daddy,Jewish,36-45,Married,Some College,Mixed,18-25,Single,High School Diploma,10-12 months,1-2,No,Yes,Yes,Yes,No,No,Yes,Monthly Allowance,,"$1k- $1,999",7,10,6,8
