,1.0,Timestamp,Which state are you in?,What city are you in,,I am a :,My race/ethnicity is:,My Age:,My Marital Status:,Education Level:,My Partner's race/ethnicity is:,My Partner's Age:,My Partner's Marital Status:,My Partner's Education Level:,Length of Time Together,Number of Dates (Monthly),Arrangement Questions [Are you Exclusive?],Arrangement Questions [Do you have more than one SR?],Arrangement Questions [Does your partner know your real Identity?],Arrangement Questions [Are your dates indoor only?],Arrangement Questions [Do you have overnight dates or travel together?],Arrangement Questions [Do you give or receive more for overnights or travel?],Arrangement Questions [Do you give or receive gifts on top of allowance?],Allowance Type:,PPM/Weekly Allowance Amount:,Allowance Amount: (Actual amount received or given. Not total budget. For gifts and experience only arrangements select how much spent on a monthly basis.),How happy are you with your current arrangement?,Are you satisfied with how much you receive or give financially?,Are you satisfied with how much time you spend together?,I feel I am getting enough effort/financial support from my partner for the money I spend/effort I put into the relationship?
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2.0,1/21/2024 19:32:14,Illinois,Chicago,,Sugar Daddy,Latin / Hispanic,36-45,Married,Bachelor Degree,White / Caucasian,18-25,Open Relationship,Bachelor Degree,More than 1 year,1-2,No,Yes,No,Yes,Yes,No,Yes,Pay Per Meet (PPM),$500-$599,,10,10,10,10
2,3.0,1/21/2024 19:33:56,Illinois,Chicago,,Sugar Daddy,Latin / Hispanic,18-25,Married,Bachelor Degree,White / Caucasian,18-25,Open Relationship,Bachelor Degree,More than 1 year,3-4,No,Yes,No,Yes,No,No,Yes,Pay Per Meet (PPM),$400-$499,,10,10,10,10
3,4.0,1/22/2024 15:51:32,Illinois,Chicago,,Sugar Baby Female,White / Caucasian,26-35,Single,Bachelor Degree,White / Caucasian,46-55,Divorced,Masters,4-6 months,3-4,No,Yes,Yes,No,No,No,Yes,Pay Per Meet (PPM),$700-$799,,6,6,6,5
4,5.0,1/23/2024 22:27:24,Illinois,Chicago,,Sugar Baby Female,Asian,26-35,Single,Bachelor Degree,White / Caucasian,56-65,Divorced,Bachelor Degree,4-6 months,1-2,No,No,Yes,No,Yes,No,Yes,Pay Per Meet (PPM),$800-$899,,7,7,8,6
5,6.0,2/6/2024 19:35:58,Illinois,chicago,,Sugar Baby Female,Black/African Descent,18-25,Single,High School Diploma,White / Caucasian,36-45,Single,Bachelor Degree,Less than a month,3-4,No,Yes,No,No,"Yes, No",Yes,Yes,Monthly Allowance,,"$2k-$2,999",7,5,8,7
6,7.0,2/9/2024 1:43:17,Illinois,Chicago,,Sugar Baby Female,Latin / Hispanic,18-25,Single,Bachelor Degree,East Indian,36-45,Divorced,Bachelor Degree,4-6 months,3-4,No,Yes,Yes,Yes,Yes,No,No,Pay Per Meet (PPM),$400-$499,,8,8,10,10
7,8.0,2/9/2024 13:26:45,Illinois,Naperville,,Sugar Daddy,East Indian,46-55,Married,Bachelor Degree,Latin / Hispanic,26-35,Single,High School Diploma,4-6 months,3-4,No,Yes,No,No,No,No,No,Pay Per Meet (PPM),< $300,,8,6,3,8
8,9.0,2/13/2024 22:40:51,Illinois,Chicago,,Sugar Daddy,White / Caucasian,36-45,Married,Masters,White / Caucasian,36-45,Married,Bachelor Degree,More than 1 year,1-2,No,Yes,No,Yes,Yes,Yes,No,Pay Per Meet (PPM),$500-$599,,6,5,5,5
9,10.0,2/14/2024 3:37:32,Illinois,Chicago,,Sugar Baby Female,White / Caucasian,36-45,Single,High School Diploma,White / Caucasian,46-55,Married,High School Diploma,7-9 months,3-4,No,No,Yes,Yes,Yes,Yes,Yes,Monthly Allowance,,"$3k-$3,999",7,9,10,9
