,1.0,Timestamp,Which state are you in?,What city are you in,,I am a :,My race/ethnicity is:,My Age:,My Marital Status:,Education Level:,My Partner's race/ethnicity is:,My Partner's Age:,My Partner's Marital Status:,My Partner's Education Level:,Length of Time Together,Number of Dates (Monthly),Arrangement Questions [Are you Exclusive?],Arrangement Questions [Do you have more than one SR?],Arrangement Questions [Does your partner know your real Identity?],Arrangement Questions [Are your dates indoor only?],Arrangement Questions [Do you have overnight dates or travel together?],Arrangement Questions [Do you give or receive more for overnights or travel?],Arrangement Questions [Do you give or receive gifts on top of allowance?],Allowance Type:,PPM/Weekly Allowance Amount:,Allowance Amount: (Actual amount received or given. Not total budget. For gifts and experience only arrangements select how much spent on a monthly basis.),How happy are you with your current arrangement?,Are you satisfied with how much you receive or give financially?,Are you satisfied with how much time you spend together?,I feel I am getting enough effort/financial support from my partner for the money I spend/effort I put into the relationship?
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2.0,6/29/2024 19:51:33,Alaska,Anchorage,,Sugar Daddy,White / Caucasian,46-55,Divorced,Bachelor Degree,White / Caucasian,26-35,Single,Some College,7-9 months,1-2,No,Yes,Yes,No,Yes,Yes,Yes,Monthly Allowance,,"$3k-$3,999",7,6,3,6
2,3.0,10/24/2024 20:08:53,Alaska,Anchorage,,Sugar Baby Female,White / Caucasian,26-35,Single,High School Diploma,White / Caucasian,46-55,Divorced,Masters,1-3 months,3-4,"Yes, No",No,Yes,Yes,No,No,No,Pay Per Meet (PPM),< $300,,7,7,4,7
3,4.0,2/9/2024 1:24:43,Hawaii,Honolulu,,Sugar Baby Female,White / Caucasian,36-45,Single,Masters,White / Caucasian,36-45,Single,Doctorate,More than 1 year,3-4,No,Yes,Yes,No,Yes,Yes,Yes,Pay Per Meet (PPM),"$2k - $2,999",,9,9,10,10
4,5.0,2/18/2024 16:10:19,Hawaii,Ewa Beach,,Sugar Daddy,Hawaiian/Caucasian,66-75,Married,Associate Degree,Asian,36-45,Divorced,Bachelor Degree,4-6 months,1-2,No,Yes,Yes,Yes,Yes,Yes,Yes,Pay Per Meet (PPM),$500-$599,,8,8,8,8
5,6.0,2/18/2024 16:18:33,Hawaii,Ewa Beach,,Sugar Daddy,Hawaiian/Caucasian,66-75,Married,Associate Degree,Pacific Islander,18-25,Single,High School Diploma,1-3 months,3-4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Pay Per Meet (PPM),"$1k - $1,999",,10,10,8,10
6,7.0,2/25/2024 19:41:18,Hawaii,Honolulu,,Sugar Daddy,White / Caucasian,56-65,Widow,Masters,Asian,46-55,Divorced,Some College,Less than a month,1-2,Yes,No,Yes,No,Yes,No,No,Pay Per Meet (PPM),$800-$899,,10,10,10,10
7,8.0,3/23/2024 12:57:24,Hawaii,Oahu,,Sugar Baby Female,Asian,18-25,Single,High School Diploma,,36-45,Single,Masters,10-12 months,1-2,No,No,No,No,Yes,No,Yes,Monthly Allowance,,"$4k-$4,999",5,5,6,5
8,9.0,5/22/2024 4:35:53,Hawaii,Honolulu,,Sugar Baby Female,Latin / Hispanic,18-25,Single,Associate Degree,Mixed,36-45,Single,Bachelor Degree,Less than a month,3-4,No,No,No,No,No,No,No,Pay Per Meet (PPM),$900-$999,,7,6,7,7
9,10.0,5/23/2024 3:16:58,Hawaii,Honolulu,,Sugar Baby Female,Black/African Descent,18-25,Single,Associate Degree,White / Caucasian,46-55,Married,Bachelor Degree,7-9 months,1-2,No,Yes,Yes,No,Yes,No,No,Pay Per Meet (PPM),$400-$499,,2,2,7,2
10,11.0,6/13/2024 9:41:06,Hawaii,Honolulu,,Sugar Baby Female,Asian,26-35,Single,Some College,,56-65,Married,Bachelor Degree,More than 1 year,7-8,No,No,Yes,No,No,No,Yes,Monthly Allowance,,"$4k-$4,999",4,4,8,4
11,12.0,6/13/2024 9:43:55,Hawaii,Honolulu,,Sugar Mama,Asian,26-35,Single,Some College,Asian,36-45,Single,Some College,More than 1 year,10+,No,No,Yes,No,Yes,No,Yes,Gifts and Experiences,,"$3k-$3,999",1,1,2,3
