,1.0,Timestamp,Which state are you in?,What city are you in,,I am a :,My race/ethnicity is:,My Age:,My Marital Status:,Education Level:,My Partner's race/ethnicity is:,My Partner's Age:,My Partner's Marital Status:,My Partner's Education Level:,Length of Time Together,Number of Dates (Monthly),Arrangement Questions [Are you Exclusive?],Arrangement Questions [Do you have more than one SR?],Arrangement Questions [Does your partner know your real Identity?],Arrangement Questions [Are your dates indoor only?],Arrangement Questions [Do you have overnight dates or travel together?],Arrangement Questions [Do you give or receive more for overnights or travel?],Arrangement Questions [Do you give or receive gifts on top of allowance?],Allowance Type:,PPM/Weekly Allowance Amount:,Allowance Amount: (Actual amount received or given. Not total budget. For gifts and experience only arrangements select how much spent on a monthly basis.),How happy are you with your current arrangement?,Are you satisfied with how much you receive or give financially?,Are you satisfied with how much time you spend together?,I feel I am getting enough effort/financial support from my partner for the money I spend/effort I put into the relationship?
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2.0,1/24/2024 7:27:34,Colorado,Colorado Springs,,Sugar Baby Female,White / Caucasian,26-35,Open Relationship,High School Diploma,White / Caucasian,26-35,Open Relationship,Some College,7-9 months,10+,Yes,No,Yes,No,Yes,No,No,Pay Per Meet (PPM),"$2k - $2,999",,8,6,8,8
2,3.0,1/25/2024 20:43:53,Colorado,Denver,,Sugar Daddy,White / Caucasian,36-45,Open Relationship,Bachelor Degree,Black/African Descent,26-35,Single,Some College,1-3 months,5-6,No,Yes,Yes,No,No,No,Yes,Monthly Allowance,,"$1k- $1,999",10,10,10,10
3,4.0,1/25/2024 20:47:12,Colorado,Denver,,Sugar Daddy,White / Caucasian,36-45,Open Relationship,Bachelor Degree,White / Caucasian,26-35,Single,Bachelor Degree,1-3 months,3-4,No,Yes,Yes,No,No,No,No,Pay Per Meet (PPM),$300-$399,,10,10,10,10
4,5.0,1/27/2024 16:34:46,Colorado,Denver,,Sugar Baby Female,White / Caucasian,26-35,Single,Bachelor Degree,White / Caucasian,46-55,Divorced,Some College,Less than a month,1-2,No,Yes,Yes,No,Yes,Yes,Yes,Pay Per Meet (PPM),$500-$599,,8,8,8,8
5,6.0,2/7/2024 3:56:56,Colorado,denver,,Sugar Baby Female,Black/African Descent,18-25,Single,Some College,White / Caucasian,56-65,Divorced,Bachelor Degree,4-6 months,3-4,Yes,No,Yes,No,No,No,Yes,Pay Per Meet (PPM),$400-$499,,10,7,7,6
6,7.0,2/8/2024 1:07:21,Colorado,Colorado Springs,,Sugar Daddy,Mixed,56-65,Divorced,Bachelor Degree,White / Caucasian,26-35,Divorced,High School Diploma,4-6 months,1-2,Yes,No,Yes,No,Yes,No,Yes,Pay Per Meet (PPM),$400-$499,,7,9,10,9
7,8.0,2/12/2024 5:44:04,Colorado,Colorado Springs,,Sugar Daddy,Multi,36-45,Single,Masters,Mixed,26-35,Single,Some College,More than 1 year,3-4,Yes,No,Yes,No,Yes,Yes,Yes,Gifts and Experiences,,"$1k- $1,999",8,5,8,8
8,9.0,2/26/2024 12:50:37,Colorado,Boulder,,Sugar Daddy,White / Caucasian,36-45,Single,Masters,White / Caucasian,26-35,Single,Masters,Less than a month,3-4,No,No,Yes,No,Yes,No,No,Gifts and Experiences,,"$1k- $1,999",5,8,3,3
9,10.0,3/30/2024 23:03:03,Colorado,Denver,,Sugar Baby Female,White / Caucasian,56-65,Divorced,Masters,White / Caucasian,56-65,Single,Bachelor Degree,1-3 months,3-4,No,Yes,Yes,Yes,No,"Yes, No",No,Monthly Allowance,,"$1k- $1,999",7,7,10,6
10,11.0,5/4/2024 23:37:47,Colorado,Denver,,Sugar Daddy,White / Caucasian,36-45,Single,Some College,White / Caucasian,26-35,Single,Bachelor Degree,Less than a month,1-2,No,No,Yes,No,No,Yes,Yes,Pay Per Meet (PPM),"$2k - $2,999",,7,8,7,7
11,12.0,5/5/2024 11:55:28,Colorado,Denver,,Sugar Daddy,White / Caucasian,66-75,Divorced,Bachelor Degree,Latin / Hispanic,18-25,Single,Some College,4-6 months,3-4,No,No,Yes,No,Yes,No,Yes,Monthly Allowance,,"$1k- $1,999",8,9,9,3
12,13.0,5/21/2024 22:11:06,Colorado,Denver,,Sugar Baby Female,White / Caucasian,26-35,Open Relationship,Bachelor Degree,White / Caucasian,56-65,Divorced,Less than High School,4-6 months,3-4,No,Yes,Yes,No,Yes,No,No,Gifts and Experiences,,"$1k- $1,999",6,6,7,3
13,14.0,5/24/2024 22:31:24,Colorado,Colorado Springs,,Sugar Baby Female,White / Caucasian,36-45,Separated,Masters,White / Caucasian,46-55,Open Relationship,Some College,Less than a month,3-4,No,Yes,Yes,No,No,Yes,Yes,Monthly Allowance,,"$3k-$3,999",8,6,7,7
14,15.0,5/31/2024 5:40:06,Colorado,Denver,,Sugar Baby Female,Asian,18-25,Single,Bachelor Degree,Asian,46-55,Divorced,Bachelor Degree,Less than a month,7-8,No,Yes,No,Yes,Yes,No,No,Pay Per Meet (PPM),$500-$599,,7,5,7,5
15,16.0,6/11/2024 1:02:49,Colorado,Denver,,Sugar Daddy,White / Caucasian,36-45,Single,Bachelor Degree,White / Caucasian,26-35,Single,Some College,10-12 months,3-4,Yes,No,Yes,No,Yes,Yes,No,Monthly Allowance,,"$4k-$4,999",8,10,10,10
16,17.0,6/29/2024 11:51:52,Colorado,Denver,,Sugar Baby Female,White / Caucasian,26-35,Single,Some College,,46-55,Divorced,Bachelor Degree,Less than a month,1-2,No,No,No,No,No,No,No,Pay Per Meet (PPM),< $300,,5,5,5,5
17,18.0,6/30/2024 19:59:16,Colorado,denver,,Sugar Baby Female,Black/African Descent,18-25,Single,High School Diploma,White / Caucasian,46-55,Single,Some College,More than 1 year,5-6,Yes,No,Yes,Yes,Yes,No,Yes,Weekly Allowance,< $300,,1,1,1,1
18,19.0,7/8/2024 10:24:16,Colorado,Denver,,Sugar Baby Female,White / Caucasian,36-45,Single,Bachelor Degree,Asian,26-35,Divorced,Bachelor Degree,1-3 months,1-2,No,Yes,Yes,No,Yes,Yes,Yes,Monthly Allowance,,"$2k-$2,999",9,8,10,8
19,20.0,7/16/2024 19:03:07,Colorado,Denver,,Sugar Daddy,White / Caucasian,46-55,Married,Bachelor Degree,White / Caucasian,26-35,Single,Some College,4-6 months,1-2,No,Yes,Yes,No,No,Yes,Yes,Pay Per Meet (PPM),$500-$599,,7,7,5,7
20,21.0,8/3/2024 19:45:55,Colorado,Denver,,Sugar Baby Female,Asian,26-35,Single,Bachelor Degree,White / Caucasian,56-65,Married,Bachelor Degree,Less than a month,1-2,No,Yes,Yes,Yes,No,No,Yes,Pay Per Meet (PPM),$500-$599,,6,6,6,6
21,22.0,8/7/2024 11:03:07,Colorado,Colorado Springs,,Sugar Baby Female,White / Caucasian,26-35,Single,Some College,White / Caucasian,46-55,Divorced,Masters,4-6 months,1-2,No,Yes,Yes,No,No,No,No,Pay Per Meet (PPM),"$1k - $1,999",,10,10,10,10
22,23.0,8/15/2024 10:59:59,Colorado,Denver,,Sugar Daddy,White / Caucasian,36-45,Open Relationship,Bachelor Degree,Latin / Hispanic,18-25,Single,High School Diploma,4-6 months,5-6,No,Yes,Yes,No,No,No,No,Monthly Allowance,,"$1k- $1,999",10,10,7,7
23,24.0,8/22/2024 22:04:49,Colorado,Denver,,Sugar Baby Female,White / Caucasian,46-55,Divorced,Masters,White / Caucasian,46-55,Single,Bachelor Degree,1-3 months,3-4,No,Yes,Yes,No,No,Yes,Yes,Pay Per Meet (PPM),$500-$599,,5,5,6,6
24,25.0,9/13/2024 21:20:46,Colorado,Denver,,Sugar Daddy,White / Caucasian,46-55,Divorced,Masters,White / Caucasian,26-35,Single,Bachelor Degree,Less than a month,3-4,No,No,Yes,No,No,Yes,Yes,Pay Per Meet (PPM),$400-$499,,6,7,8,7
25,26.0,10/3/2024 22:48:31,Colorado,Denver,,Sugar Daddy,Asian,26-35,Single,Some College,White / Caucasian,26-35,Single,Bachelor Degree,1-3 months,5-6,Yes,No,Yes,No,No,Yes,Yes,Pay Per Meet (PPM),$800-$899,,8,10,7,6
26,27.0,10/10/2024 0:45:11,Colorado,denver,,Sugar Daddy,East Indian,36-45,Single,Masters,White / Caucasian,26-35,Single,Bachelor Degree,1-3 months,3-4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Pay Per Meet (PPM),$400-$499,,8,8,8,8
27,28.0,10/20/2024 11:21:19,Colorado,Denver,,Sugar Baby Female,White / Caucasian,26-35,Single,Bachelor Degree,White / Caucasian,56-65,Single,Doctorate,More than 1 year,1-2,No,No,Yes,No,Yes,Yes,Yes,Monthly Allowance,,"$2k-$2,999",5,3,8,7
28,29.0,10/30/2024 16:04:42,Colorado,Denver,,Sugar Baby Female,White / Caucasian,26-35,Single,Bachelor Degree,White / Caucasian,56-65,Single,Masters,Less than a month,5-6,Yes,No,Yes,No,Yes,No,Yes,Monthly Allowance,,"$1k- $1,999",10,10,10,10
29,30.0,11/29/2024 15:37:47,Colorado,Ft Collins,,Sugar Daddy,White / Caucasian,46-55,Married,Bachelor Degree,White / Caucasian,36-45,Single,Associate Degree,1-3 months,3-4,Yes,No,Yes,No,Yes,No,Yes,Pay Per Meet (PPM),$400-$499,,5,6,7,8
