,1.0,Timestamp,Which state are you in?,What city are you in,,I am a :,My race/ethnicity is:,My Age:,My Marital Status:,Education Level:,My Partner's race/ethnicity is:,My Partner's Age:,My Partner's Marital Status:,My Partner's Education Level:,Length of Time Together,Number of Dates (Monthly),Arrangement Questions [Are you Exclusive?],Arrangement Questions [Do you have more than one SR?],Arrangement Questions [Does your partner know your real Identity?],Arrangement Questions [Are your dates indoor only?],Arrangement Questions [Do you have overnight dates or travel together?],Arrangement Questions [Do you give or receive more for overnights or travel?],Arrangement Questions [Do you give or receive gifts on top of allowance?],Allowance Type:,PPM/Weekly Allowance Amount:,Allowance Amount: (Actual amount received or given. Not total budget. For gifts and experience only arrangements select how much spent on a monthly basis.),How happy are you with your current arrangement?,Are you satisfied with how much you receive or give financially?,Are you satisfied with how much time you spend together?,I feel I am getting enough effort/financial support from my partner for the money I spend/effort I put into the relationship?
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2.0,4/13/2024 12:58:02,Alabama,Birmingham,,Sugar Daddy,,18-25,Single,Bachelor Degree,,18-25,Single,Bachelor Degree,Less than a month,1-2,No,No,No,No,No,No,No,Pay Per Meet (PPM),$300-$399,,9,9,9,9
2,3.0,5/21/2024 15:48:05,Alabama,Birmingham,,Sugar Baby Female,White / Caucasian,36-45,Divorced,Bachelor Degree,Middle Eastern,46-55,Married,Doctorate,More than 1 year,1-2,Yes,No,Yes,Yes,No,No,No,Pay Per Meet (PPM),$300-$399,,1,3,7,3
3,4.0,5/24/2024 23:49:38,Alabama,Elberta,,Sugar Baby Female,White / Caucasian,18-25,Single,High School Diploma,White / Caucasian,56-65,Single,Associate Degree,Less than a month,3-4,No,Yes,No,No,No,Yes,Yes,Weekly Allowance,$600-$699,,5,5,5,5
4,5.0,6/26/2024 20:55:37,Alabama,Birmingham,,Sugar Baby Female,Black/African Descent,26-35,Single,Some College,Black/African Descent,36-45,Single,High School Diploma,Less than a month,1-2,No,No,No,No,No,No,No,Pay Per Meet (PPM),$3k or more,,1,3,8,10
5,6.0,7/6/2024 20:52:02,Alabama,Florence,,Sugar Baby Female,White / Caucasian,18-25,Single,High School Diploma,White / Caucasian,56-65,Divorced,Bachelor Degree,Less than a month,1-2,Yes,No,Yes,Yes,No,No,No,Pay Per Meet (PPM),$300-$399,,3,1,6,1
6,7.0,7/25/2024 12:06:12,Alabama,Auburn,,Sugar Baby Female,White / Caucasian,36-45,Open Relationship,Associate Degree,White / Caucasian,56-65,Married,Bachelor Degree,4-6 months,1-2,No,No,Yes,Yes,No,No,No,Pay Per Meet (PPM),$300-$399,,10,5,5,5
7,8.0,7/30/2024 12:06:36,Alabama,Birmingham,,Sugar Baby Female,White / Caucasian,18-25,Single,Bachelor Degree,White / Caucasian,46-55,Divorced,Bachelor Degree,Less than a month,3-4,No,Yes,Yes,No,No,No,No,Pay Per Meet (PPM),$400-$499,,7,7,10,8
8,9.0,8/29/2024 2:10:04,Alabama,Birmingham,,Sugar Daddy,White / Caucasian,36-45,Divorced,Some College,White / Caucasian,26-35,Single,High School Diploma,More than 1 year,5-6,No,No,Yes,No,Yes,No,Yes,Gifts and Experiences,,"$1k- $1,999",10,10,10,10
9,10.0,9/21/2024 15:22:23,Alabama,Birmingham,,Sugar Baby Female,White / Caucasian,36-45,Divorced,Bachelor Degree,,46-55,Open Relationship,Doctorate,More than 1 year,3-4,No,No,Yes,Yes,No,No,No,Pay Per Meet (PPM),< $300,,1,1,1,1
10,11.0,12/24/2024 4:10:32,Alabama,Birmingham,,Sugar Baby Female,Black/African Descent,18-25,Single,Associate Degree,,36-45,Single,Bachelor Degree,1-3 months,3-4,No,No,No,Yes,No,No,Yes,Pay Per Meet (PPM),$300-$399,,3,3,3,2
11,12.0,2/26/2024 14:43:34,Arkansas,Fayetteville,,Sugar Baby Female,White / Caucasian,26-35,Single,Bachelor Degree,White / Caucasian,46-55,Divorced,Some College,10-12 months,1-2,No,Yes,Yes,No,Yes,Yes,Yes,Pay Per Meet (PPM),$500-$599,,7,5,7,6
12,13.0,7/4/2024 3:19:47,Arkansas,Bentonville,,Sugar Daddy,White / Caucasian,46-55,Married,Bachelor Degree,White / Caucasian,26-35,Single,Bachelor Degree,More than 1 year,7-8,No,No,Yes,Yes,No,Yes,Yes,Monthly Allowance,,"$1k- $1,999",10,8,8,9
13,14.0,7/5/2024 6:11:30,Arkansas,Benton,,Sugar Baby Female,White / Caucasian,36-45,Widow,Some College,White / Caucasian,56-65,Widow,Doctorate,Less than a month,1-2,Yes,No,Yes,No,Yes,Yes,No,Weekly Allowance,$500-$599,,5,3,5,3
14,15.0,8/19/2024 2:18:28,Arkansas,Jonesboro,,Sugar Daddy,White / Caucasian,36-45,Married,Bachelor Degree,,36-45,Single,Some College,1-3 months,3-4,Yes,No,No,No,Yes,"Yes, No",Yes,Gifts and Experiences,,"$1k- $1,999",8,7,8,8
15,16.0,12/22/2024 0:20:02,Arkansas,Fayetteville,,Sugar Baby Female,Asian,18-25,Single,Bachelor Degree,White / Caucasian,36-45,Single,Bachelor Degree,4-6 months,5-6,Yes,No,Yes,No,Yes,No,No,Monthly Allowance,,"$1k- $1,999",10,9,10,10
16,17.0,1/21/2024 7:43:58,Florida,Pensacola,,Sugar Baby Female,White / Caucasian,26-35,Divorced,Associate Degree,White / Caucasian,56-65,Separated,Bachelor Degree,More than 1 year,7-8,Yes,No,Yes,No,Yes,No,Yes,Weekly Allowance,$900-$999,,7,7,6,6
17,18.0,1/23/2024 10:57:18,Florida,jacksonville,,Sugar Daddy,White / Caucasian,46-55,Single,Bachelor Degree,White / Caucasian,26-35,Single,High School Diploma,4-6 months,3-4,No,Yes,No,No,No,No,No,Pay Per Meet (PPM),< $300,,7,7,6,7
18,19.0,1/24/2024 22:55:27,Florida,West palm,,Sugar Baby Female,Latin / Hispanic,26-35,Single,Associate Degree,White / Caucasian,46-55,Open Relationship,Bachelor Degree,1-3 months,3-4,No,Yes,Yes,No,No,Yes,No,Pay Per Meet (PPM),$600-$699,,6,8,10,5
19,20.0,1/28/2024 23:21:13,Florida,Orlando,,Sugar Baby Female,White / Caucasian,26-35,Single,Bachelor Degree,Latin / Hispanic,36-45,Widow,Bachelor Degree,Less than a month,3-4,No,No,No,No,No,No,No,Pay Per Meet (PPM),< $300,,3,1,4,2
20,21.0,2/4/2024 2:57:12,Florida,Tampa,,Sugar Baby Female,White / Caucasian,26-35,Single,Some College,White / Caucasian,66-75,Single,Bachelor Degree,7-9 months,5-6,No,Yes,Yes,No,Yes,Yes,Yes,Pay Per Meet (PPM),$500-$599,,7,6,10,8
21,22.0,2/5/2024 21:09:52,Florida,Jacksonville,,Sugar Baby Female,Black/African Descent,36-45,Separated,Bachelor Degree,Black/African Descent,46-55,Single,High School Diploma,Less than a month,3-4,Yes,No,Yes,Yes,No,No,No,Weekly Allowance,$500-$599,,10,9,8,8
22,23.0,2/6/2024 14:08:33,Florida,Naples,,Sugar Daddy,White / Caucasian,26-35,Single,Some College,White / Caucasian,26-35,Divorced,High School Diploma,10-12 months,3-4,No,No,Yes,No,Yes,No,Yes,Pay Per Meet (PPM),$300-$399,,4,7,4,2
23,24.0,2/6/2024 17:09:24,Florida,Tampa,,Sugar Baby Female,White / Caucasian,26-35,Divorced,High School Diploma,White / Caucasian,56-65,Divorced,Masters,10-12 months,1-2,No,Yes,No,No,No,No,Yes,Pay Per Meet (PPM),$500-$599,,4,1,10,9
24,25.0,2/9/2024 11:14:08,Florida,Pensacola,,Sugar Daddy,White / Caucasian,46-55,Married,Masters,,18-25,Single,Some College,More than 1 year,3-4,No,Yes,No,Yes,No,Yes,Yes,Pay Per Meet (PPM),$700-$799,,9,8,8,8
25,26.0,2/11/2024 10:45:47,Florida,Panama City,,Sugar Daddy,White / Caucasian,46-55,Married,Masters,White / Caucasian,36-45,Open Relationship,Associate Degree,10-12 months,1-2,No,No,Yes,No,No,No,"Yes, No",Pay Per Meet (PPM),$300-$399,,8,10,8,9
26,27.0,2/15/2024 16:46:10,Florida,Volusia,,Sugar Baby Male,,26-35,Open Relationship,Associate Degree,Mixed,26-35,Open Relationship,Doctorate,More than 1 year,1-2,Yes,"Yes, No",Yes,Yes,Yes,Yes,Yes,Weekly Allowance,$800-$899,,4,4,5,5
