,1.0,Timestamp,Which state are you in?,What city are you in,,I am a :,My race/ethnicity is:,My Age:,My Marital Status:,Education Level:,My Partner's race/ethnicity is:,My Partner's Age:,My Partner's Marital Status:,My Partner's Education Level:,Length of Time Together,Number of Dates (Monthly),Arrangement Questions [Are you Exclusive?],Arrangement Questions [Do you have more than one SR?],Arrangement Questions [Does your partner know your real Identity?],Arrangement Questions [Are your dates indoor only?],Arrangement Questions [Do you have overnight dates or travel together?],Arrangement Questions [Do you give or receive more for overnights or travel?],Arrangement Questions [Do you give or receive gifts on top of allowance?],Allowance Type:,PPM/Weekly Allowance Amount:,Allowance Amount: (Actual amount received or given. Not total budget. For gifts and experience only arrangements select how much spent on a monthly basis.),How happy are you with your current arrangement?,Are you satisfied with how much you receive or give financially?,Are you satisfied with how much time you spend together?,I feel I am getting enough effort/financial support from my partner for the money I spend/effort I put into the relationship?
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2.0,1/21/2024 4:44:39,California,San Francisco,,Sugar Daddy,Asian,36-45,Married,Bachelor Degree,Asian,36-45,Divorced,Masters,4-6 months,1-2,Yes,No,Yes,Yes,No,No,Yes,Pay Per Meet (PPM),$800-$899,,8,8,8,8
2,3.0,1/21/2024 8:06:21,California,Los Angeles,,Sugar Baby Female,White / Caucasian,26-35,Open Relationship,Doctorate,White / Caucasian,56-65,Single,Bachelor Degree,1-3 months,3-4,No,Yes,Yes,No,Yes,Yes,Yes,Pay Per Meet (PPM),$1k or more,,9,9,7,9
3,4.0,1/21/2024 8:07:22,California,Los Angeles,,Sugar Baby Female,White / Caucasian,26-35,Open Relationship,Doctorate,Black/African Descent,56-65,Married,Bachelor Degree,1-3 months,1-2,No,Yes,No,Yes,No,No,No,Pay Per Meet (PPM),$1k or more,,8,9,5,9
4,5.0,1/21/2024 10:47:28,California,Irvine,,Sugar Baby Female,Asian,26-35,Divorced,Masters,White / Caucasian,46-55,Married,Doctorate,1-3 months,3-4,No,Yes,Yes,No,Yes,Yes,Yes,Pay Per Meet (PPM),$700-$799,,10,8,10,7
5,6.0,1/21/2024 10:49:20,California,Irvine,,Sugar Baby Female,Asian,26-35,Divorced,Masters,Mixed,46-55,Single,Masters,4-6 months,3-4,No,Yes,No,Yes,No,No,Yes,Monthly Allowance,,"$3k-$3,999",10,9,10,8
6,7.0,1/21/2024 11:36:43,California,Irvine,,Sugar Daddy,Asian,56-65,Open Relationship,Bachelor Degree,Latin / Hispanic,18-25,Single,High School Diploma,10-12 months,3-4,No,Yes,Yes,Yes,No,No,No,Pay Per Meet (PPM),$400-$499,,10,10,10,10
7,8.0,1/21/2024 11:38:13,California,Irvine,,Sugar Daddy,Asian,56-65,Open Relationship,Bachelor Degree,Asian,18-25,Single,Less than High School,More than 1 year,1-2,No,Yes,Yes,Yes,No,No,No,Pay Per Meet (PPM),$300-$399,,5,10,7,5
8,9.0,1/21/2024 11:39:56,California,Irvine,,Sugar Daddy,Asian,56-65,Open Relationship,Bachelor Degree,Latin / Hispanic,18-25,Single,Less than High School,More than 1 year,1-2,No,Yes,Yes,Yes,No,No,No,Pay Per Meet (PPM),< $300,,5,7,10,8
9,10.0,1/21/2024 13:20:57,California,Newport Beach,,Sugar Daddy,White / Caucasian,46-55,Married,Bachelor Degree,Mixed,18-25,Single,Some College,More than 1 year,3-4,Yes,No,Yes,Yes,No,Yes,Yes,Pay Per Meet (PPM),$500-$599,,7,8,7,6
10,11.0,1/21/2024 13:29:03,California,Irvine,,Sugar Daddy,Asian,56-65,Open Relationship,Bachelor Degree,Asian,18-25,Open Relationship,High School Diploma,10-12 months,1-2,No,Yes,No,Yes,No,No,Yes,Pay Per Meet (PPM),$400-$499,,5,5,4,3
11,12.0,1/21/2024 13:57:28,California,Fremont,,Sugar Daddy,East Indian,36-45,Separated,Masters,Latin / Hispanic,18-25,Single,High School Diploma,1-3 months,3-4,No,Yes,No,Yes,No,Yes,Yes,Pay Per Meet (PPM),$500-$599,,8,8,6,8
12,13.0,1/21/2024 13:59:25,California,Pleasanton,,Sugar Daddy,East Indian,36-45,Married,Masters,Asian,18-25,Single,High School Diploma,Less than a month,1-2,No,Yes,No,Yes,No,Yes,No,Pay Per Meet (PPM),$500-$599,,7,7,8,8
13,14.0,1/21/2024 14:01:15,California,San Jose,,Sugar Daddy,East Indian,36-45,Separated,Bachelor Degree,Latin / Hispanic,18-25,Single,Some College,1-3 months,3-4,No,Yes,No,No,No,Yes,Yes,Pay Per Meet (PPM),$800-$899,,4,7,3,5
14,15.0,1/22/2024 0:18:42,California,LA,,Sugar Baby Female,Asian,18-25,Single,Bachelor Degree,Asian,26-35,Divorced,Doctorate,1-3 months,3-4,Yes,No,Yes,No,Yes,Yes,Yes,Monthly Allowance,,"$6k-$6,999",10,7,8,10
