state,city,sb_race,sb_age,sb_marital_status,sb_education,sd_race,sd_age,sd_marital_status,sd_education,time_together,num_monthly_dates,Gifts?,Happy?,Satisfied with give/receive?,Am I getting enough effort/support?,Allowance Type,PPM/Weekly allowance,Allowance Amount,sample,nmd,allowance_amount,per_meet_amount
Maryland,Bel Air,White / Caucasian,26-35,Separated,Some College,,46-55,Open Relationship,Doctorate,More than 1 year,3-4,Yes,1.0,5.0,10.0,Pay Per Meet (PPM),"$1k - $1,999",,sugar_baby,3.5,5250.0,1500.0
Maryland,Bethesda,Black/African Descent,26-35,Single,Bachelor Degree,Middle Eastern,46-55,Married,Doctorate,Less than a month,3-4,Yes,8.0,8.0,9.0,Pay Per Meet (PPM),"$2k - $2,999",,sugar_baby,3.5,8750.0,2500.0
Maryland,Baltimore,White / Caucasian,18-25,Single,Masters,Black/African Descent,26-35,Single,Doctorate,4-6 months,3-4,Yes,8.0,8.0,8.0,Pay Per Meet (PPM),$400-$499,,sugar_baby,3.5,1575.0,450.0
Maryland,Rockville,Black/African Descent,36-45,Divorced,Bachelor Degree,Black/African Descent,46-55,Single,Masters,10-12 months,10+,Yes,3.0,2.0,3.0,Gifts and Experiences,,"$1k- $1,999",sugar_baby,10.0,1500.0,150.0
Maryland,Baltimore,Asian,26-35,Single,Bachelor Degree,White / Caucasian,46-55,Divorced,Bachelor Degree,4-6 months,3-4,Yes,8.0,8.0,8.0,Pay Per Meet (PPM),$300-$399,,sugar_baby,3.5,1225.0,350.0
Maryland,Fulton,Black/African Descent,26-35,Single,Bachelor Degree,,46-55,Single,Some College,1-3 months,3-4,Yes,5.0,5.0,5.0,Pay Per Meet (PPM),$600-$699,,sugar_baby,3.5,2275.0,650.0
Maryland,Bel Air,White / Caucasian,46-55,Single,Bachelor Degree,White / Caucasian,46-55,Single,Doctorate,Less than a month,1-2,No,6.0,7.0,5.0,Pay Per Meet (PPM),$400-$499,,sugar_baby,1.5,675.0,450.0
Maryland,Baltimore and DC,White / Caucasian,26-35,Single,High School Diploma,White / Caucasian,56-65,Divorced,Some College,1-3 months,3-4,No,5.0,8.0,9.0,Weekly Allowance,"$1k - $1,999",,sugar_baby,3.5,6000.0,1714.2857142857142
Maryland,Baltimore,White / Caucasian,26-35,Single,High School Diploma,White / Caucasian,36-45,Married,Bachelor Degree,4-6 months,3-4,No,9.0,7.0,9.0,Monthly Allowance,,"$2k-$2,999",sugar_baby,3.5,2500.0,714.2857142857143
Maryland,California,White / Caucasian,36-45,Single,Associate Degree,White / Caucasian,56-65,Married,Bachelor Degree,4-6 months,3-4,Yes,6.0,8.0,8.0,Pay Per Meet (PPM),$300-$399,,sugar_baby,3.5,1225.0,350.0
Maryland,Baltimore,White / Caucasian,26-35,Single,Some College,Asian,36-45,Married,Bachelor Degree,7-9 months,5-6,Yes,7.0,7.0,9.0,Pay Per Meet (PPM),"$1k - $1,999",,sugar_baby,5.5,8250.0,1500.0
Maryland,Bethesda,Mixed,26-35,Single,Bachelor Degree,,46-55,Single,Masters,Less than a month,3-4,Yes,2.0,2.0,2.0,Pay Per Meet (PPM),"$1k - $1,999",,sugar_baby,3.5,5250.0,1500.0
Maryland,Elkton,White / Caucasian,26-35,Open Relationship,High School Diploma,White / Caucasian,26-35,Open Relationship,High School Diploma,Less than a month,1-2,Yes,5.0,5.0,5.0,Pay Per Meet (PPM),$300-$399,,sugar_baby,1.5,525.0,350.0
Maryland,Easton,Latin / Hispanic,26-35,Single,Some College,Black/African Descent,36-45,Married,Masters,Less than a month,3-4,Yes,9.0,8.0,8.0,Monthly Allowance,,"$4k-$4,999",sugar_baby,3.5,4500.0,1285.7142857142858
Maryland,Elkton,White / Caucasian,26-35,Single,Less than High School,White / Caucasian,56-65,Divorced,Bachelor Degree,More than 1 year,3-4,Yes,7.0,4.0,4.0,Gifts and Experiences,,"$2k-$2,999",sugar_baby,3.5,2500.0,714.2857142857143
Maryland,Bethesda,Black/African Descent,26-35,Single,Bachelor Degree,White / Caucasian,66-75,Married,Masters,1-3 months,3-4,No,4.0,9.0,10.0,Pay Per Meet (PPM),$400-$499,,sugar_baby,3.5,1575.0,450.0
Virginia,Alexandria,Asian,26-35,Open Relationship,Bachelor Degree,White / Caucasian,56-65,Married,Bachelor Degree,1-3 months,3-4,Yes,8.0,7.0,7.0,Monthly Allowance,,"$3k-$3,999",sugar_baby,3.5,3500.0,1000.0
Virginia,Stafford,White / Caucasian,26-35,Married,High School Diploma,Asian,56-65,Married,Bachelor Degree,Less than a month,3-4,Yes,10.0,10.0,10.0,Pay Per Meet (PPM),$500-$599,,sugar_baby,3.5,1925.0,550.0
Virginia,Richmond,,18-25,Single,Bachelor Degree,,36-45,Divorced,Bachelor Degree,Less than a month,1-2,Yes,8.0,8.0,8.0,Pay Per Meet (PPM),"$1k - $1,999",,sugar_baby,1.5,2250.0,1500.0
Virginia,Nova,Black/African Descent,18-25,Single,Some College,White / Caucasian,56-65,Divorced,Masters,Less than a month,7-8,Yes,10.0,10.0,10.0,Monthly Allowance,,$10k or more,sugar_baby,7.5,10000.0,1333.3333333333333
Virginia,Fairfax,Middle Eastern,18-25,Single,Associate Degree,,46-55,Single,Masters,Less than a month,1-2,Yes,10.0,10.0,10.0,Weekly Allowance,$600-$699,,sugar_baby,1.5,2600.0,1733.3333333333333
Virginia,Richmond,Mixed,18-25,Single,Some College,White / Caucasian,36-45,Single,Bachelor Degree,1-3 months,7-8,No,10.0,7.0,8.0,Pay Per Meet (PPM),$600-$699,,sugar_baby,7.5,4875.0,650.0
Virginia,Woodbridge,White / Caucasian,26-35,Divorced,Bachelor Degree,White / Caucasian,36-45,Single,Masters,1-3 months,3-4,Yes,10.0,10.0,10.0,Pay Per Meet (PPM),$500-$599,,sugar_baby,3.5,1925.0,550.0
Virginia,McLean,Black/African Descent,26-35,Single,Bachelor Degree,White / Caucasian,46-55,Divorced,Masters,Less than a month,3-4,Yes,4.0,5.0,5.0,Monthly Allowance,,"$5k-$5,999",sugar_baby,3.5,5500.0,1571.4285714285713
Virginia,Roanoke,White / Caucasian,36-45,Single,Associate Degree,White / Caucasian,66-75,Divorced,Masters,10-12 months,1-2,Yes,3.0,3.0,3.0,Pay Per Meet (PPM),$300-$399,,sugar_baby,1.5,525.0,350.0
