state,city,sb_race,sb_age,sb_marital_status,sb_education,sd_race,sd_age,sd_marital_status,sd_education,time_together,num_monthly_dates,Gifts?,Happy?,Satisfied with give/receive?,Am I getting enough effort/support?,Allowance Type,PPM/Weekly allowance,Allowance Amount,sample,nmd,allowance_amount,per_meet_amount
Alaska,Anchorage,White / Caucasian,26-35,Single,High School Diploma,White / Caucasian,46-55,Divorced,Masters,1-3 months,3-4,No,7.0,7.0,7.0,Pay Per Meet (PPM),< $300,,sugar_baby,3.5,525.0,150.0
Hawaii,Honolulu,White / Caucasian,36-45,Single,Masters,White / Caucasian,36-45,Single,Doctorate,More than 1 year,3-4,Yes,9.0,9.0,10.0,Pay Per Meet (PPM),"$2k - $2,999",,sugar_baby,3.5,8750.0,2500.0
Hawaii,Oahu,Asian,18-25,Single,High School Diploma,,36-45,Single,Masters,10-12 months,1-2,Yes,5.0,5.0,5.0,Monthly Allowance,,"$4k-$4,999",sugar_baby,1.5,4500.0,3000.0
Hawaii,Honolulu,Latin / Hispanic,18-25,Single,Associate Degree,Mixed,36-45,Single,Bachelor Degree,Less than a month,3-4,No,7.0,6.0,7.0,Pay Per Meet (PPM),$900-$999,,sugar_baby,3.5,3325.0,950.0
Hawaii,Honolulu,Black/African Descent,18-25,Single,Associate Degree,White / Caucasian,46-55,Married,Bachelor Degree,7-9 months,1-2,No,2.0,2.0,2.0,Pay Per Meet (PPM),$400-$499,,sugar_baby,1.5,675.0,450.0
Hawaii,Honolulu,Asian,26-35,Single,Some College,,56-65,Married,Bachelor Degree,More than 1 year,7-8,Yes,4.0,4.0,4.0,Monthly Allowance,,"$4k-$4,999",sugar_baby,7.5,4500.0,600.0
Alaska,Anchorage,White / Caucasian,26-35,Single,Some College,White / Caucasian,46-55,Divorced,Bachelor Degree,7-9 months,1-2,Yes,7.0,6.0,6.0,Monthly Allowance,,"$3k-$3,999",sugar_daddy,1.5,3500.0,2333.3333333333335
Hawaii,Ewa Beach,Asian,36-45,Divorced,Bachelor Degree,Hawaiian/Caucasian,66-75,Married,Associate Degree,4-6 months,1-2,Yes,8.0,8.0,8.0,Pay Per Meet (PPM),$500-$599,,sugar_daddy,1.5,825.0,550.0
Hawaii,Ewa Beach,Pacific Islander,18-25,Single,High School Diploma,Hawaiian/Caucasian,66-75,Married,Associate Degree,1-3 months,3-4,Yes,10.0,10.0,10.0,Pay Per Meet (PPM),"$1k - $1,999",,sugar_daddy,3.5,5250.0,1500.0
Hawaii,Honolulu,Asian,46-55,Divorced,Some College,White / Caucasian,56-65,Widow,Masters,Less than a month,1-2,No,10.0,10.0,10.0,Pay Per Meet (PPM),$800-$899,,sugar_daddy,1.5,1275.0,850.0
