state,city,sb_race,sb_age,sb_marital_status,sb_education,sd_race,sd_age,sd_marital_status,sd_education,time_together,num_monthly_dates,Gifts?,Happy?,Satisfied with give/receive?,Am I getting enough effort/support?,Allowance Type,PPM/Weekly allowance,Allowance Amount,sample,nmd,allowance_amount,per_meet_amount
Connecticut,New Haven,White / Caucasian,26-35,Single,Masters,Latin / Hispanic,56-65,Married,Masters,1-3 months,1-2,Yes,10.0,10.0,9.0,Pay Per Meet (PPM),$800-$899,,sugar_baby,1.5,1275.0,850.0
Connecticut,New Haven,White / Caucasian,26-35,Single,Masters,Black/African Descent,46-55,Open Relationship,Masters,1-3 months,3-4,No,4.0,4.0,3.0,Pay Per Meet (PPM),$300-$399,,sugar_baby,3.5,1225.0,350.0
Maine,Portland,White / Caucasian,26-35,Single,Bachelor Degree,White / Caucasian,46-55,Divorced,Some College,Less than a month,3-4,Yes,10.0,8.0,10.0,Pay Per Meet (PPM),"$1k - $1,999",,sugar_baby,3.5,5250.0,1500.0
Maine,Portland,Mixed,18-25,Single,Bachelor Degree,White / Caucasian,56-65,Divorced,Masters,More than 1 year,1-2,Yes,5.0,5.0,5.0,Monthly Allowance,,"$4k-$4,999",sugar_baby,1.5,4500.0,3000.0
Maine,Freeport,White / Caucasian,26-35,Single,Associate Degree,White / Caucasian,46-55,Open Relationship,Doctorate,More than 1 year,3-4,Yes,10.0,10.0,10.0,Monthly Allowance,,"$9k-$9,999",sugar_baby,3.5,9500.0,2714.285714285714
Maine,Kittery,White / Caucasian,26-35,Single,Some College,White / Caucasian,46-55,Married,Masters,1-3 months,3-4,No,7.0,7.0,5.0,Pay Per Meet (PPM),$500-$599,,sugar_baby,3.5,1925.0,550.0
Maine,Portland,White / Caucasian,26-35,Single,Bachelor Degree,White / Caucasian,46-55,Single,Bachelor Degree,Less than a month,1-2,Yes,7.0,7.0,7.0,Pay Per Meet (PPM),$500-$599,,sugar_baby,1.5,825.0,550.0
Massachusetts,Boston,White / Caucasian,18-25,Single,Masters,Black/African Descent,36-45,Divorced,Masters,More than 1 year,3-4,Yes,10.0,10.0,10.0,Monthly Allowance,,$10k or more,sugar_baby,3.5,10000.0,2857.1428571428573
Massachusetts,Boston,Black/African Descent,18-25,Open Relationship,Bachelor Degree,White / Caucasian,36-45,Single,Bachelor Degree,Less than a month,3-4,Yes,7.0,7.0,7.0,Monthly Allowance,,"$4k-$4,999",sugar_baby,3.5,4500.0,1285.7142857142858
Massachusetts,Boston,Asian,18-25,Single,Bachelor Degree,White / Caucasian,56-65,Divorced,Doctorate,1-3 months,3-4,Yes,10.0,10.0,10.0,Monthly Allowance,,"$9k-$9,999",sugar_baby,3.5,9500.0,2714.285714285714
Massachusetts,cambridge,Asian,18-25,Single,Bachelor Degree,White / Caucasian,36-45,Single,Doctorate,1-3 months,3-4,No,5.0,5.0,5.0,Monthly Allowance,,"$2k-$2,999",sugar_baby,3.5,2500.0,714.2857142857143
Massachusetts,Springfield,Latin / Hispanic,26-35,Divorced,Masters,White / Caucasian,46-55,Divorced,Masters,1-3 months,5-6,No,2.0,2.0,1.0,Monthly Allowance,,"$2k-$2,999",sugar_baby,5.5,2500.0,454.54545454545456
Massachusetts,Boston,White / Caucasian,36-45,Single,Masters,White / Caucasian,56-65,Married,Masters,More than 1 year,3-4,Yes,9.0,9.0,9.0,Monthly Allowance,,$10k or more,sugar_baby,3.5,10000.0,2857.1428571428573
Massachusetts,Boston,Asian,26-35,Single,Masters,White / Caucasian,46-55,Divorced,Bachelor Degree,10-12 months,1-2,Yes,7.0,6.0,8.0,Monthly Allowance,,"$6k-$6,999",sugar_baby,1.5,6500.0,4333.333333333333
Massachusetts,Boston,Black/African Descent,18-25,Single,Some College,White / Caucasian,18-25,Single,Bachelor Degree,1-3 months,3-4,No,6.0,5.0,7.0,Pay Per Meet (PPM),"$1k - $1,999",,sugar_baby,3.5,5250.0,1500.0
Massachusetts,Boston,White / Caucasian,18-25,Single,Doctorate,White / Caucasian,36-45,Married,Bachelor Degree,1-3 months,5-6,Yes,7.0,7.0,7.0,Monthly Allowance,,"$5k-$5,999",sugar_baby,5.5,5500.0,1000.0
Massachusetts,Waltham,White / Caucasian,26-35,Single,Some College,White / Caucasian,46-55,Single,Bachelor Degree,4-6 months,3-4,No,5.0,5.0,5.0,Monthly Allowance,,"$2k-$2,999",sugar_baby,3.5,2500.0,714.2857142857143
Massachusetts,Malden,White / Caucasian,18-25,Single,High School Diploma,White / Caucasian,26-35,Single,High School Diploma,More than 1 year,7-8,Yes,4.0,1.0,1.0,Weekly Allowance,$800-$899,,sugar_baby,7.5,3400.0,453.3333333333333
Massachusetts,Boston,White / Caucasian,26-35,Single,Doctorate,White / Caucasian,36-45,Divorced,Masters,1-3 months,3-4,No,6.0,4.0,10.0,Pay Per Meet (PPM),$900-$999,,sugar_baby,3.5,3325.0,950.0
Massachusetts,Boston,White / Caucasian,26-35,Single,Doctorate,Latin / Hispanic,36-45,Single,Masters,1-3 months,1-2,Yes,5.0,6.0,7.0,Pay Per Meet (PPM),$800-$899,,sugar_baby,1.5,1275.0,850.0
Massachusetts,Boston,White / Caucasian,26-35,Single,Doctorate,East Indian,36-45,Single,Masters,4-6 months,1-2,No,5.0,5.0,7.0,Pay Per Meet (PPM),$800-$899,,sugar_baby,1.5,1275.0,850.0
Massachusetts,holyoke,,26-35,Single,Some College,,46-55,Single,Masters,Less than a month,1-2,Yes,5.0,4.0,4.0,Pay Per Meet (PPM),$300-$399,,sugar_baby,1.5,525.0,350.0
Massachusetts,Boston,White / Caucasian,18-25,Single,Some College,White / Caucasian,56-65,Separated,Doctorate,More than 1 year,1-2,Yes,6.0,4.0,4.0,Pay Per Meet (PPM),$600-$699,,sugar_baby,1.5,975.0,650.0
Massachusetts,Boston,White / Caucasian,26-35,Single,Masters,White / Caucasian,46-55,Married,Masters,1-3 months,5-6,Yes,10.0,8.0,8.0,Monthly Allowance,,"$9k-$9,999",sugar_baby,5.5,9500.0,1727.2727272727273
Massachusetts,Boston,Latin / Hispanic,36-45,Single,Associate Degree,White / Caucasian,46-55,Married,Masters,1-3 months,3-4,Yes,7.0,7.0,7.0,Pay Per Meet (PPM),$500-$599,,sugar_baby,3.5,1925.0,550.0
New Hampshire,Manchester,Black/African Descent,26-35,Open Relationship,Bachelor Degree,White / Caucasian,46-55,Open Relationship,Associate Degree,More than 1 year,3-4,Yes,10.0,10.0,10.0,Gifts and Experiences,,"$3k-$3,999",sugar_baby,3.5,3500.0,1000.0
New Jersey,Wayne,Asian,26-35,Single,Bachelor Degree,White / Caucasian,56-65,Widow,Masters,10-12 months,7-8,Yes,10.0,10.0,10.0,Gifts and Experiences,,"$9k-$9,999",sugar_baby,7.5,9500.0,1266.6666666666667
New Jersey,vineland,Latin / Hispanic,56-65,Divorced,Bachelor Degree,White / Caucasian,56-65,Divorced,Masters,10-12 months,5-6,No,2.0,3.0,4.0,Gifts and Experiences,,"$1k- $1,999",sugar_baby,5.5,1500.0,272.72727272727275
New Jersey,Princeton,Black/African Descent,18-25,Single,Masters,White / Caucasian,46-55,Married,Doctorate,More than 1 year,5-6,Yes,9.0,8.0,7.0,Monthly Allowance,,$8-$8.999,sugar_baby,5.5,8500.0,1545.4545454545455
New Jersey,South,Mixed,18-25,Single,Associate Degree,Mixed,18-25,Single,Associate Degree,1-3 months,5-6,Yes,10.0,6.0,10.0,Gifts and Experiences,,"$1k- $1,999",sugar_baby,5.5,1500.0,272.72727272727275
