state,city,sb_race,sb_age,sb_marital_status,sb_education,sd_race,sd_age,sd_marital_status,sd_education,time_together,num_monthly_dates,Gifts?,Happy?,Satisfied with give/receive?,Am I getting enough effort/support?,Allowance Type,PPM/Weekly allowance,Allowance Amount,sample,nmd,allowance_amount,per_meet_amount
Alabama,Birmingham,White / Caucasian,36-45,Divorced,Bachelor Degree,Middle Eastern,46-55,Married,Doctorate,More than 1 year,1-2,No,1.0,3.0,3.0,Pay Per Meet (PPM),$300-$399,,sugar_baby,1.5,525.0,350.0
Alabama,Elberta,White / Caucasian,18-25,Single,High School Diploma,White / Caucasian,56-65,Single,Associate Degree,Less than a month,3-4,Yes,5.0,5.0,5.0,Weekly Allowance,$600-$699,,sugar_baby,3.5,2600.0,742.8571428571429
Alabama,Birmingham,Black/African Descent,26-35,Single,Some College,Black/African Descent,36-45,Single,High School Diploma,Less than a month,1-2,No,1.0,3.0,10.0,Pay Per Meet (PPM),$3k or more,,sugar_baby,1.5,5250.0,3500.0
Alabama,Florence,White / Caucasian,18-25,Single,High School Diploma,White / Caucasian,56-65,Divorced,Bachelor Degree,Less than a month,1-2,No,3.0,1.0,1.0,Pay Per Meet (PPM),$300-$399,,sugar_baby,1.5,525.0,350.0
Alabama,Auburn,White / Caucasian,36-45,Open Relationship,Associate Degree,White / Caucasian,56-65,Married,Bachelor Degree,4-6 months,1-2,No,10.0,5.0,5.0,Pay Per Meet (PPM),$300-$399,,sugar_baby,1.5,525.0,350.0
Alabama,Birmingham,White / Caucasian,18-25,Single,Bachelor Degree,White / Caucasian,46-55,Divorced,Bachelor Degree,Less than a month,3-4,No,7.0,7.0,8.0,Pay Per Meet (PPM),$400-$499,,sugar_baby,3.5,1575.0,450.0
Alabama,Birmingham,White / Caucasian,36-45,Divorced,Bachelor Degree,,46-55,Open Relationship,Doctorate,More than 1 year,3-4,No,1.0,1.0,1.0,Pay Per Meet (PPM),< $300,,sugar_baby,3.5,525.0,150.0
Alabama,Birmingham,Black/African Descent,18-25,Single,Associate Degree,,36-45,Single,Bachelor Degree,1-3 months,3-4,Yes,3.0,3.0,2.0,Pay Per Meet (PPM),$300-$399,,sugar_baby,3.5,1225.0,350.0
Arkansas,Fayetteville,White / Caucasian,26-35,Single,Bachelor Degree,White / Caucasian,46-55,Divorced,Some College,10-12 months,1-2,Yes,7.0,5.0,6.0,Pay Per Meet (PPM),$500-$599,,sugar_baby,1.5,825.0,550.0
Arkansas,Benton,White / Caucasian,36-45,Widow,Some College,White / Caucasian,56-65,Widow,Doctorate,Less than a month,1-2,No,5.0,3.0,3.0,Weekly Allowance,$500-$599,,sugar_baby,1.5,2200.0,1466.6666666666667
Arkansas,Fayetteville,Asian,18-25,Single,Bachelor Degree,White / Caucasian,36-45,Single,Bachelor Degree,4-6 months,5-6,No,10.0,9.0,10.0,Monthly Allowance,,"$1k- $1,999",sugar_baby,5.5,1500.0,272.72727272727275
Florida,Pensacola,White / Caucasian,26-35,Divorced,Associate Degree,White / Caucasian,56-65,Separated,Bachelor Degree,More than 1 year,7-8,Yes,7.0,7.0,6.0,Weekly Allowance,$900-$999,,sugar_baby,7.5,3800.0,506.6666666666667
Florida,West palm,Latin / Hispanic,26-35,Single,Associate Degree,White / Caucasian,46-55,Open Relationship,Bachelor Degree,1-3 months,3-4,No,6.0,8.0,5.0,Pay Per Meet (PPM),$600-$699,,sugar_baby,3.5,2275.0,650.0
Florida,Orlando,White / Caucasian,26-35,Single,Bachelor Degree,Latin / Hispanic,36-45,Widow,Bachelor Degree,Less than a month,3-4,No,3.0,1.0,2.0,Pay Per Meet (PPM),< $300,,sugar_baby,3.5,525.0,150.0
Florida,Tampa,White / Caucasian,26-35,Single,Some College,White / Caucasian,66-75,Single,Bachelor Degree,7-9 months,5-6,Yes,7.0,6.0,8.0,Pay Per Meet (PPM),$500-$599,,sugar_baby,5.5,3025.0,550.0
Florida,Jacksonville,Black/African Descent,36-45,Separated,Bachelor Degree,Black/African Descent,46-55,Single,High School Diploma,Less than a month,3-4,No,10.0,9.0,8.0,Weekly Allowance,$500-$599,,sugar_baby,3.5,2200.0,628.5714285714286
Florida,Tampa,White / Caucasian,26-35,Divorced,High School Diploma,White / Caucasian,56-65,Divorced,Masters,10-12 months,1-2,Yes,4.0,1.0,9.0,Pay Per Meet (PPM),$500-$599,,sugar_baby,1.5,825.0,550.0
Florida,Miami,Mixed,18-25,Single,Bachelor Degree,White / Caucasian,46-55,Single,Bachelor Degree,More than 1 year,3-4,Yes,1.0,1.0,1.0,Monthly Allowance,,"$3k-$3,999",sugar_baby,3.5,3500.0,1000.0
Florida,pompano beach,White / Caucasian,18-25,Single,High School Diploma,White / Caucasian,26-35,Single,Bachelor Degree,Less than a month,1-2,No,4.0,2.0,2.0,Pay Per Meet (PPM),$500-$599,,sugar_baby,1.5,825.0,550.0
Florida,Largo,White / Caucasian,18-25,Single,Some College,Latin / Hispanic,36-45,Single,Masters,4-6 months,3-4,Yes,10.0,9.0,8.0,Weekly Allowance,$400-$499,,sugar_baby,3.5,1800.0,514.2857142857143
Florida,Tampa,Latin / Hispanic,18-25,Single,Bachelor Degree,Mixed,36-45,Divorced,Doctorate,Less than a month,1-2,Yes,8.0,8.0,8.0,Weekly Allowance,$800-$899,,sugar_baby,1.5,3400.0,2266.6666666666665
Florida,Saint Cloud,Latin / Hispanic,18-25,Single,Associate Degree,White / Caucasian,46-55,Single,Associate Degree,1-3 months,3-4,Yes,4.0,4.0,3.0,Pay Per Meet (PPM),$400-$499,,sugar_baby,3.5,1575.0,450.0
