state,city,sb_race,sb_age,sb_marital_status,sb_education,sd_race,sd_age,sd_marital_status,sd_education,time_together,num_monthly_dates,Gifts?,Happy?,Satisfied with give/receive?,Am I getting enough effort/support?,Allowance Type,PPM/Weekly allowance,Allowance Amount,sample,nmd,allowance_amount,per_meet_amount
Colorado,Colorado Springs,White / Caucasian,26-35,Open Relationship,High School Diploma,White / Caucasian,26-35,Open Relationship,Some College,7-9 months,10+,No,8.0,6.0,8.0,Pay Per Meet (PPM),"$2k - $2,999",,sugar_baby,10.0,25000.0,2500.0
Colorado,Denver,White / Caucasian,26-35,Single,Bachelor Degree,White / Caucasian,46-55,Divorced,Some College,Less than a month,1-2,Yes,8.0,8.0,8.0,Pay Per Meet (PPM),$500-$599,,sugar_baby,1.5,825.0,550.0
Colorado,denver,Black/African Descent,18-25,Single,Some College,White / Caucasian,56-65,Divorced,Bachelor Degree,4-6 months,3-4,Yes,10.0,7.0,6.0,Pay Per Meet (PPM),$400-$499,,sugar_baby,3.5,1575.0,450.0
Colorado,Denver,White / Caucasian,56-65,Divorced,Masters,White / Caucasian,56-65,Single,Bachelor Degree,1-3 months,3-4,No,7.0,7.0,6.0,Monthly Allowance,,"$1k- $1,999",sugar_baby,3.5,1500.0,428.57142857142856
Colorado,Denver,White / Caucasian,26-35,Open Relationship,Bachelor Degree,White / Caucasian,56-65,Divorced,Less than High School,4-6 months,3-4,No,6.0,6.0,3.0,Gifts and Experiences,,"$1k- $1,999",sugar_baby,3.5,1500.0,428.57142857142856
Colorado,Colorado Springs,White / Caucasian,36-45,Separated,Masters,White / Caucasian,46-55,Open Relationship,Some College,Less than a month,3-4,Yes,8.0,6.0,7.0,Monthly Allowance,,"$3k-$3,999",sugar_baby,3.5,3500.0,1000.0
Colorado,Denver,Asian,18-25,Single,Bachelor Degree,Asian,46-55,Divorced,Bachelor Degree,Less than a month,7-8,No,7.0,5.0,5.0,Pay Per Meet (PPM),$500-$599,,sugar_baby,7.5,4125.0,550.0
Colorado,Denver,White / Caucasian,26-35,Single,Some College,,46-55,Divorced,Bachelor Degree,Less than a month,1-2,No,5.0,5.0,5.0,Pay Per Meet (PPM),< $300,,sugar_baby,1.5,225.0,150.0
Colorado,denver,Black/African Descent,18-25,Single,High School Diploma,White / Caucasian,46-55,Single,Some College,More than 1 year,5-6,Yes,1.0,1.0,1.0,Weekly Allowance,< $300,,sugar_baby,5.5,600.0,109.0909090909091
Colorado,Denver,White / Caucasian,36-45,Single,Bachelor Degree,Asian,26-35,Divorced,Bachelor Degree,1-3 months,1-2,Yes,9.0,8.0,8.0,Monthly Allowance,,"$2k-$2,999",sugar_baby,1.5,2500.0,1666.6666666666667
Colorado,Denver,Asian,26-35,Single,Bachelor Degree,White / Caucasian,56-65,Married,Bachelor Degree,Less than a month,1-2,Yes,6.0,6.0,6.0,Pay Per Meet (PPM),$500-$599,,sugar_baby,1.5,825.0,550.0
Colorado,Colorado Springs,White / Caucasian,26-35,Single,Some College,White / Caucasian,46-55,Divorced,Masters,4-6 months,1-2,No,10.0,10.0,10.0,Pay Per Meet (PPM),"$1k - $1,999",,sugar_baby,1.5,2250.0,1500.0
