state,city,sb_race,sb_age,sb_marital_status,sb_education,sd_race,sd_age,sd_marital_status,sd_education,time_together,num_monthly_dates,Gifts?,Happy?,Satisfied with give/receive?,Am I getting enough effort/support?,Allowance Type,PPM/Weekly allowance,Allowance Amount,sample,nmd,allowance_amount,per_meet_amount
California,Los Angeles,White / Caucasian,26-35,Open Relationship,Doctorate,White / Caucasian,56-65,Single,Bachelor Degree,1-3 months,3-4,Yes,9.0,9.0,9.0,Pay Per Meet (PPM),$1k or more,,sugar_baby,3.5,3500.0,1000.0
California,Los Angeles,White / Caucasian,26-35,Open Relationship,Doctorate,Black/African Descent,56-65,Married,Bachelor Degree,1-3 months,1-2,No,8.0,9.0,9.0,Pay Per Meet (PPM),$1k or more,,sugar_baby,1.5,1500.0,1000.0
California,Irvine,Asian,26-35,Divorced,Masters,White / Caucasian,46-55,Married,Doctorate,1-3 months,3-4,Yes,10.0,8.0,7.0,Pay Per Meet (PPM),$700-$799,,sugar_baby,3.5,2625.0,750.0
California,Irvine,Asian,26-35,Divorced,Masters,Mixed,46-55,Single,Masters,4-6 months,3-4,Yes,10.0,9.0,8.0,Monthly Allowance,,"$3k-$3,999",sugar_baby,3.5,3500.0,1000.0
California,LA,Asian,18-25,Single,Bachelor Degree,Asian,26-35,Divorced,Doctorate,1-3 months,3-4,Yes,10.0,7.0,10.0,Monthly Allowance,,"$6k-$6,999",sugar_baby,3.5,6500.0,1857.142857142857
California,Los Angeles,White / Caucasian,26-35,Single,Bachelor Degree,Middle Eastern,46-55,Single,Doctorate,More than 1 year,7-8,Yes,7.0,7.0,5.0,Monthly Allowance,,$10k or more,sugar_baby,7.5,10000.0,1333.3333333333333
California,San Jose,Native American,26-35,Single,Masters,Mixed,36-45,Single,Doctorate,Less than a month,3-4,Yes,9.0,8.0,8.0,Pay Per Meet (PPM),$500-$599,,sugar_baby,3.5,1925.0,550.0
California,Los Angeles,Asian,18-25,Single,Some College,White / Caucasian,26-35,Single,Bachelor Degree,Less than a month,1-2,Yes,10.0,10.0,10.0,Pay Per Meet (PPM),$300-$399,,sugar_baby,1.5,525.0,350.0
California,San Francisco,Mixed,26-35,Single,Bachelor Degree,East Indian,36-45,Divorced,Bachelor Degree,More than 1 year,3-4,No,7.0,4.0,3.0,Pay Per Meet (PPM),$500-$599,,sugar_baby,3.5,1925.0,550.0
California,San Francisco,Latin / Hispanic,18-25,Single,Some College,White / Caucasian,36-45,Single,Bachelor Degree,1-3 months,3-4,Yes,5.0,5.0,4.0,Pay Per Meet (PPM),$500-$599,,sugar_baby,3.5,1925.0,550.0
California,San jose,Mixed,26-35,Single,Bachelor Degree,East Indian,46-55,Open Relationship,Doctorate,7-9 months,3-4,Yes,9.0,9.0,9.0,Monthly Allowance,,"$3k-$3,999",sugar_baby,3.5,3500.0,1000.0
California,san francisco,White / Caucasian,26-35,Single,Bachelor Degree,,26-35,Single,High School Diploma,Less than a month,3-4,Yes,9.0,7.0,7.0,Monthly Allowance,,"$1k- $1,999",sugar_baby,3.5,1500.0,428.57142857142856
California,Irvine,Asian,36-45,Single,Bachelor Degree,Asian,56-65,Married,Doctorate,1-3 months,3-4,Yes,10.0,10.0,10.0,Monthly Allowance,,"$4k-$4,999",sugar_baby,3.5,4500.0,1285.7142857142858
California,Irvine,Asian,36-45,Separated,Bachelor Degree,White / Caucasian,46-55,Divorced,Masters,1-3 months,1-2,Yes,10.0,10.0,10.0,Pay Per Meet (PPM),$700-$799,,sugar_baby,1.5,1125.0,750.0
California,San Francisco,White / Caucasian,18-25,Single,Bachelor Degree,Asian,36-45,Single,Masters,1-3 months,1-2,No,7.0,6.0,7.0,Pay Per Meet (PPM),"$2k - $2,999",,sugar_baby,1.5,3750.0,2500.0
